Census Tract 2020,SALE PRICE
108.0,464685.4871794872
109.0,8333333.333333333
110.0,7804198.69379845
111.0,7472685.358490566
112.0,483713.73913043475
113.0,2779168.433333333
114.0,505657.57575757575
115.0,2230121.2786885244
116.0,658008.4615384615
117.0,1105367.142857143
118.0,1384895.7839506173
119.0,7983875.166666667
120.0,2065260.711111111
121.0,732866.5504587156
122.0,3119581.1970260222
123.0,336666.6666666667
124.0,7406427.8036809815
125.0,3418216.836601307
126.0,610789.5294117647
127.0,1808609.7681159421
128.0,1646803.87654321
130.0,3449020.963800905
131.0,3499304.5507246377
132.0,457154.8985507246
133.0,2104998.8242677823
134.0,1864516.4249471459
135.0,974754.185840708
136.0,590594.359375
137.0,4845238.127090301
138.0,1161413.7907869483
139.0,2182241.9831932774
140.0,3608714.0268199234
141.0,595472.6951219512
142.0,4328010.6407185625
143.0,951940.2234042553
144.0,1566135.6590909092
145.0,2176863.7374517373
147.0,968095.8148148148
148.0,535378.45
149.0,1447976.647398844
150.0,776912.5306122449
151.0,746388.7765363129
152.0,2989147.2420382164
153.0,1011700.0
154.0,421785.78571428574
155.0,1538632.9894736842
156.0,461796.0
157.0,1396772.4849498328
158.0,414104.1904761905
159.0,1377599.3153692614
160.0,771629.9038461539
161.0,2029058.8266666667
162.0,503664.1081081081
163.0,2759127.1621621624
164.0,596923.9253731343
165.0,2426961.030927835
166.0,749393.1085714286
167.0,2433140.2928176797
168.0,867460.9508196721
169.0,1236740.5130434784
170.0,542428.1235955056
171.0,1528075.2428571428
172.0,877154.9625
173.0,2082746.6101694915
174.0,393107.21428571426
175.0,2161389.797979798
176.0,630815.6275862069
177.0,1534551.1826923077
178.0,553710.987654321
179.0,1754812.938547486
180.0,760233.25
181.0,920319.0516431925
182.0,556804.5
183.0,4336039.61878453
184.0,577725.4563106796
185.0,705435.302631579
186.0,527982.9315068494
187.0,2288176.013157895
188.0,622934.2465753425
189.0,856444.3627450981
190.0,638861.5742574257
191.0,1925843.0827586206
192.0,553102.6
193.0,986835.1465517242
194.0,552651.8129032258
195.0,1025075.7777777778
196.0,761251.8987341772
197.0,2335871.909090909
198.0,701494.0822510823
199.0,1328708.8142857142
200.0,1653148.611764706
201.0,1267302.062992126
202.0,603577.1477272727
203.0,959117.4107142857
204.0,576424.12
205.0,1408507.7835051545
206.0,499285.9552238806
207.0,1029618.4210526316
208.0,951033.9923076923
209.0,14400000.0
210.0,761540.5405405406
211.0,1111571.720338983
212.0,481422.912
213.0,1075077.3806451613
214.0,574627.5890410959
215.0,1909874.4363636363
216.0,1096763.1666666667
217.0,722750.0277777778
218.0,1290894.6875
219.0,3106531.36
220.0,2634812.5
221.0,1369631.625
222.0,952511.2739726028
223.0,753730.3055555555
224.0,937440.701754386
225.0,2098913.0
226.0,960797.5921052631
227.0,928208.6173913043
228.0,633533.4329896907
229.0,1118529.393258427
230.0,692335.652631579
231.0,1422682.75
232.0,1269659.8789808918
233.0,1155907.4342105263
234.0,1166097.043478261
235.0,804856.25
236.0,925688.2531645569
237.0,1653750.0
238.0,715700.1076923077
239.0,474387.4651162791
240.0,579963.2164948453
241.0,1050700.0652173914
242.0,963268.9126984127
243.0,750225.6666666666
244.0,598051.4705882353
245.0,1136581.8613861387
246.0,1603197.2602739725
247.0,686805.6593406594
248.0,668905.1366906475
249.0,1131989.575
250.0,460280.70175438595
251.0,484638.668161435
252.0,486362.0689655172
253.0,910148.8734177215
254.0,445750.01515151514
255.0,1032808.0
256.0,494338.9830508475
257.0,996726.0038167939
258.0,933374.4897959183
259.0,1053736.3636363635
260.0,625362.2195121951
261.0,665540.1031746032
262.0,608657.8108108108
263.0,1020551.1449275363
264.0,592352.1538461539
265.0,880265.9852941176
266.0,481257.17142857146
267.0,2033519.6724137932
268.0,751042.8372093023
269.0,1100022.3921568627
270.0,590504.48
271.0,1375715.4237288137
272.0,518822.3728813559
273.0,749705.2738095238
274.0,706719.078125
275.0,718379.8601398602
276.0,1178177.511627907
277.0,741912.1777777778
278.0,764434.625
279.0,707953.9295774648
280.0,513669.5681818182
281.0,2766949.635220126
282.0,623855.9508196721
283.0,781910.253968254
284.0,687487.1785714285
285.0,531060.7191011236
286.0,639135.1351351351
287.0,439434.6574074074
288.0,768321.1744186047
289.0,455437.1818181818
290.0,567152.1739130435
291.0,690998.8699186991
292.0,787146.2608695652
293.0,1104946.923076923
294.0,1466281.9367088608
295.0,502535.1596244131
296.0,634655.5384615385
297.0,634420.312
298.0,1008000.0
299.0,1674260.8
300.0,741131.7894736842
301.0,1653474.2660550459
302.0,682870.6615384616
303.0,637607.1034482758
304.0,783527.75
305.0,1899939.28
306.0,466134.22340425535
307.0,695222.4343434343
308.0,523092.75
309.0,541676.2790697674
310.0,543621.1111111111
311.0,1168643.75
312.0,490000.5882352941
313.0,1066506.0344827587
314.0,566125.0
315.0,1216506.4827586208
316.0,330960.0
317.0,444602.3333333333
318.0,497667.0833333333
319.0,718809.5238095238
320.0,405909.3409090909
321.0,501481.48148148146
323.0,486751.1098901099
324.0,391250.0
325.0,636675.9090909091
326.0,455194.3378378378
327.0,741103.9310344828
328.0,311408.84810126584
329.0,628969.6052631579
330.0,564487.962406015
331.0,418334.0
333.0,469770.0
334.0,0.0
335.0,437932.5862068966
336.0,528249.2461538462
337.0,740464.2857142857
339.0,662421.8
340.0,303372.6153846154
341.0,2311218.05
342.0,449985.71428571426
343.0,689769.976744186
